ZipCode,TaxRegionName,EstimatedCombinedRate
92136,SAN DIEGO CITY,0.0775
92137,SAN DIEGO CITY,0.0775
92138,SAN DIEGO CITY,0.0775
92139,SAN DIEGO CITY,0.0775
92140,SAN DIEGO CITY,0.0775
92142,SAN DIEGO CITY,0.0775
92143,SAN DIEGO CITY,0.0775
92145,SAN DIEGO CITY,0.0775
92147,SAN DIEGO CITY,0.0775
92149,SAN DIEGO CITY,0.0775
92150,SAN DIEGO CITY,0.0775
92152,SAN DIEGO CITY,0.0775
92153,SAN DIEGO CITY,0.0775
92154,SAN DIEGO CITY,0.0775
92155,CORONADO,0.0775
92158,SAN DIEGO COUNTY,0.0775
92159,SAN DIEGO CITY,0.0775
92160,SAN DIEGO CITY,0.0775
92161,SAN DIEGO CITY,0.0775
92163,SAN DIEGO CITY,0.0775
92165,SAN DIEGO CITY,0.0775
92166,SAN DIEGO CITY,0.0775
92167,SAN DIEGO CITY,0.0775
92168,SAN DIEGO CITY,0.0775
92169,SAN DIEGO CITY,0.0775
92170,SAN DIEGO CITY,0.0775
92171,SAN DIEGO CITY,0.0775
92172,SAN DIEGO CITY,0.0775
92173,SAN DIEGO CITY,0.0775
92174,SAN DIEGO CITY,0.0775
92175,SAN DIEGO CITY,0.0775
92176,SAN DIEGO CITY,0.0775
92177,SAN DIEGO CITY,0.0775
92178,CORONADO,0.0775
92179,SAN DIEGO CITY,0.0775
92182,SAN DIEGO CITY,0.0775
92187,SAN DIEGO CITY,0.0775
92191,SAN DIEGO CITY,0.0775
92192,SAN DIEGO CITY,0.0775
92193,SAN DIEGO CITY,0.0775
92195,SAN DIEGO CITY,0.0775
92196,SAN DIEGO CITY,0.0775
92197,SAN DIEGO CITY,0.0775
92198,SAN DIEGO CITY,0.0775
92199,SAN DIEGO CITY,0.0775
92201,INDIO,0.0875
92202,INDIO,0.0875
92203,INDIO,0.0875
92210,INDIAN WELLS,0.0775
92211,PALM DESERT,0.0775
92220,BANNING,0.0775
92222,IMPERIAL COUNTY,0.0775
92223,BEAUMONT,0.0775
92225,BLYTHE,0.0875
92226,BLYTHE,0.0875
92227,BRAWLEY,0.0775
92230,RIVERSIDE COUNTY,0.0775
92231,CALEXICO,0.0825
92232,CALEXICO,0.0825
92233,IMPERIAL COUNTY,0.0775
92234,CATHEDRAL CITY,0.0875
92235,CATHEDRAL CITY,0.0875
92236,COACHELLA,0.0875
92239,RIVERSIDE COUNTY,0.0775
92240,DESERT HOT SPRINGS,0.0775
92241,GREATER PALM SPRINGS TOURISM BID,0.0775
92242,SAN BERNARDINO COUNTY,0.0775
92243,EL CENTRO,0.0825
92244,EL CENTRO,0.0825
92247,LA QUINTA,0.0875
92248,LA QUINTA,0.0875
92249,IMPERIAL COUNTY,0.0775
92250,HOLTVILLE,0.0775
92251,IMPERIAL,0.0775
92252,SAN BERNARDINO COUNTY,0.0775
92253,LA QUINTA,0.0875
